Title,Organization,Level,Ratings,Short Description,Skills,Completion Time,Instructor,Cost,Link
Natural Language Processing,DeepLearning.AI,Intermediate,4.6,"Summary:
This course covers various machine learning techniques such as logistic regression, naïve Bayes, word vectors, dynamic programming, hidden Markov models, word embeddings, recurrent neural networks, LSTMs, GRUs, Siamese networks, encoder-decoder, causal, self-attention, and Trax. Students will learn how to implement sentiment analysis, complete analogies, translate words, autocorrect, autocomplete, identify part-of-speech tags, text generation, named entity recognition, machine translation, text summarization, building chatbots, and question-answering using these techniques."," Machine Learning, Natural Language Processing, Python Programming, Statistical Programming, Artificial Neural Networks, Probability & Statistics, Statistical Machine Learning, Deep Learning, Machine Learning Algorithms, General Statistics, Human Learning, Linear Algebra, Mathematics",3 - 6 Months,Łukasz Kaiser,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/natural-language-processing
Foundations of User Experience (UX) Design,Google,Beginner,4.8,"Summary:
This course covers the common job responsibilities of entry-level UX designers, understanding foundational concepts in UX design such as user-centered design, the design process, accessibility, and equity-focused design, and explains the importance of design sprints in a UX designer's work."," User Experience, User Experience Design, User Research, Product Development",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/foundations-user-experience-design
Project Initiation: Starting a Successful Project,Google,Beginner,4.8,"Summary:
This course covers the significance of the initiation phase in the project life cycle, understanding key components of project charters, developing a project charter, conducting stakeholder analysis, utilizing RACI charts to define team member responsibilities, and evaluating project management tools to meet project needs."," Project Management, Strategy and Operations, Collaboration, Communication, Leadership and Management, Planning",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/project-initiation-google
Play It Safe: Manage Security Risks,Google,Beginner,4.8,"Summary:
The course covers identifying primary threats, risks, and vulnerabilities to business operations, examining the use of security frameworks and controls to protect business operations, defining commonly used Security Information and Event Management (SIEM) tools, and utilizing playbooks to respond to threats, risks, and vulnerabilities."," Audit, Computer Security Incident Management, Leadership and Management, Risk Management",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/manage-security-risks
Ask Questions to Make Data-Driven Decisions,Google,Beginner,4.7,"Summary:
This course covers the application of problem-solving road maps to analysis scenarios, the importance of data in decision-making, and the use of spreadsheets for data organization. Additionally, it explores the concept of structured thinking and its key ideas."," Business Communication, Data Analysis, Spreadsheet Software, Big Data, Communication, Leadership and Management, Problem Solving, Small Data",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/ask-questions-make-decisions
Meta Back-End Developer,Meta,Beginner,4.7,"Summary: This course is designed to help individuals become qualified back-end developers by gaining technical skills such as using Python Syntax, Linux commands, Git, SQL, Version Control, Cloud Hosting, APIs, JSON, and XML. Students will also build a portfolio and receive interview preparation tips for engineering jobs. The course focuses on teaching in-demand programming skills and how to effectively use code to solve problems."," Python Programming, Databases, HTML and CSS, SQL, Database Design, Programming Principles, Algorithms, Computer Science, Big Data, React (web framework), Software Testing, Web Development, Application Development, Back-End Web Development, Cloud API, Cloud Computing, Cloud Infrastructure, Collaboration, Communication, Computer Programming, Data Model, Data Structures, Data Warehousing, Database Administration, Database Application, Database Theory, DevOps, Django (Web Framework), Front-End Web Development, Full-Stack Web Development, Javascript, Kubernetes, Linux, Problem Solving, Semantic Web, Software Engineering, Software Engineering Tools, Statistical Programming, Tensorflow, Web Design, Web Development Tools",3 - 6 Months,Taught by Meta Staff,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/meta-back-end-developer
HRCI Human Resource Associate,HRCI,Beginner,4.8,"Summary:
The course covers topics such as recruiting and retaining talent, evaluating performance management and feedback's impact on employee relations, and assessing the benefits of total remuneration and technology for organizations."," Benefits, Compensation, Employee Relations, Mergers & Acquisitions, Performance Management, Recruitment, Risk Management, Training",3 - 6 Months,Rachel Landers,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/hrci-human-resource-associate
Google Business Intelligence,Google,Advanced,4.7,"Summary:
This course explores the roles of business intelligence (BI) professionals within an organization. Students will practice data modeling and extract, transform, load (ETL) processes to meet organizational goals. They will also learn to design data visualizations that answer business questions and create dashboards to effectively communicate data insights to stakeholders."," Business Intelligence, Data Analysis, Data Management, Data Model, Data Visualization, Extract, Transform, Load, Leadership and Management, Strategy, Tableau Software",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/google-business-intelligence
Financial Markets,Yale University,Beginner,4.8,"Summary:
The course focuses on Behavioral Finance, Financial Markets, Finance, and Behavioral Economics."," Finance, Investment Management, Risk Management, Banking, Behavioral Economics, Critical Thinking, Financial Analysis, Innovation, Regulations and Compliance, Underwriting, Leadership and Management",3 - 6 Months,check out the website in given url for more information,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/financial-markets-global
Análisis de Datos de Google,Google,Beginner,4.8,"Summary:
This course offers an immersive experience in the practices and processes used by junior data analysts on a daily basis. Participants will learn analytical skills such as data cleaning, analysis, and visualization, as well as key tools including spreadsheets, SQL, R programming, and Tableau. Additionally, they will learn how to clean and organize data, conduct analysis using spreadsheets, SQL, and R programming, and present results using common visualization platforms."," Data Analysis, Data Management, Databases, Exploratory Data Analysis, Data Visualization, SQL, Business Analysis, Microsoft Excel, Process Analysis, Statistical Programming, Data Structures, Extract, Transform, Load, Spreadsheet Software, Communication, Operational Analysis, Computer Programming, Problem Solving, Strategy, Visualization (Computer Graphics), Database Theory, Organizational Development, People Analysis, Tableau Software, Data Analysis Software, Plot (Graphics), Programming Principles, R Programming, Strategy and Operations, Research and Design, Business Communication, Computer Programming Tools, Computer Graphics, Data Model, Security Engineering, System Security",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/analisis-de-datos-de-google
Microsoft 365 Fundamentals,Microsoft,Beginner,4.7,"Summary:
The course focuses on teaching participants how to work collaboratively and effectively using a suite of productivity-enhancing applications."," Visual Design, Communication, Microsoft Excel, Data Visualization, Interactive Data Visualization, Spreadsheet Software, Computer Graphics, Critical Thinking, Data Analysis, Visualization (Computer Graphics), Business Communication, Collaboration, User Experience, Computer Graphic Techniques, Research and Design, User Experience Design, Writing, Accounting, Data Analysis Software, Graphic Design, Databases, General Accounting, Marketing Design, Product Design, Leadership and Management, Software Architecture",3 - 6 Months, Microsoft,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/microsoft-365-fundamentals
SAP Technology Consultant,SAP,Beginner,4.7,"Summary: The course focuses on teaching key consulting skills highly demanded by SAP partners globally. Participants will gain understanding of global SAP business solutions, products, and ecosystem. They will also acquire skills for the entire lifecycle of an SAP implementation and improve their CV/Resume with practical examples. Furthermore, the course covers planning and project management methodologies including Waterfall, Agile, DevOps, and Cloud."," Leadership and Management, Strategy and Operations, Cloud-Based Integration, Business Analysis, Business Transformation, Business Process Management, Cloud Applications, Strategy, Customer Analysis, Planning, Product Management, Project Management, Business Intelligence, Software As A Service, Supply Chain and Logistics, Cloud Standards, Cloud Computing, Network Architecture, Software Architecture, System Software, Communication",3 - 6 Months,Leslie Reynolds,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/sap-technology-consultant
Workday Basics Series,Workday,Beginner,4.8,"Summary: The course covers Workday terminology and navigation, business process and configurable security frameworks, the Workday update process, continuous innovation deployment, and how business users can improve operational efficiency with Workday technology. Participants will learn how to empower companies to stay agile and meet changing needs using industry leading technology.",check out the website in given url for more information,3 - 6 Months,check out the website in given url for more information,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/workday-basics-series
Meta Database Engineer,Meta,Beginner,4.6,"Summary:
This course covers proficiency in SQL syntax for interacting with databases, creating databases from scratch, including management and optimization. Additionally, it teaches writing database-driven applications in Python to connect clients to MySQL databases and covers advanced data modeling concepts."," SQL, Databases, Statistical Programming, Python Programming, Database Design, Programming Principles, Algorithms, Computer Science, Big Data, Software Testing, Application Development, Collaboration, Communication, Computer Programming, Data Analysis, Data Management, Data Model, Data Structures, Data Warehousing, Database Administration, Database Application, Database Theory, Django (Web Framework), Javascript, Leadership and Management, Linux, Problem Solving, Project Management, Software Engineering, Software Engineering Tools, Tableau Software, Tensorflow, Web Development",3 - 6 Months,Taught by Meta Staff,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/meta-database-engineer
Arizona State University TESOL,Arizona State University,Beginner,4.9,"Summary:
This course focuses on mastering modern communicative techniques to engage students in English language learning environments. Participants will also learn how to recognize, identify, and apply language acquisition theories to create effective lesson plans. Delivery of these lesson plans will emphasize interactive and engaging methods for teaching."," Human Learning, Strategy, Planning, Writing, Mergers & Acquisitions",3 - 6 Months,Dr. Shane Dixon,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/arizona-state-university-tesol
IBM Product Manager,SkillUp EdTech,Beginner,4.8,"Summary:
This course focuses on applying key product management skills, tools, and techniques to engage and manage stakeholders and clients. It covers product strategy development and implementation methods, as well as product development and analysis best practices to ensure successful product launch. Additionally, students will develop a working knowledge of Agile and adaptive methodologies used to expedite product solutions to market."," Software Engineering, Agile Software Development, Scrum (Software Development), Communication, Leadership Development, Leadership and Management, Product Development, Product Lifecycle, Product Management, Product Strategy",3 - 6 Months,John Rofrano,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-product-manager
IBM Machine Learning,IBM,Intermediate,4.6,"Summary:
The course focuses on mastering practical skills and knowledge used by machine learning experts. Participants will learn to compare and contrast machine learning algorithms by creating recommender systems in Python. Additionally, they will gain a working knowledge of KNN, PCA, and non-negative matrix collaborative filtering. Participants will also learn how to predict course ratings by training a neural network and constructing regression and classification models."," Machine Learning, Machine Learning Algorithms, Human Learning, Statistical Machine Learning, Data Analysis, Probability & Statistics, Applied Machine Learning, Algorithms, Forecasting, General Statistics, Statistical Analysis, Deep Learning, Python Programming, Regression, Machine Learning Software, Artificial Neural Networks, Exploratory Data Analysis, Feature Engineering, Correlation And Dependence, Dimensionality Reduction, Statistical Tests, Reinforcement Learning, Data Model, Data Analysis Software, Data Structures, Network Model",3 - 6 Months,Kopal Garg,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ibm-machine-learning
Microsoft Cybersecurity Analyst,Microsoft,Beginner,4.7,"Summary:
This course covers foundational concepts in cybersecurity, compliance, and identity solutions. Students will learn how to identify vulnerabilities in network infrastructures, mitigate attacks, and implement threat mitigation strategies in an Azure environment. The course concludes with a capstone project and preparation for the Microsoft SC-900 Certification exam."," Cloud Computing, Computer Architecture, Data Management, Leadership and Management, Microsoft Azure, Network Security, Operating Systems, System Security",3 - 6 Months, Microsoft,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/microsoft-cybersecurity-analyst
Neural Networks and Deep Learning,DeepLearning.AI,Intermediate,4.9,"Summary:
The course covers key topics such as Artificial Neural Networks, Backpropagation, Python Programming, Deep Learning, and Neural Network Architecture."," Artificial Neural Networks, Deep Learning, Machine Learning, Machine Learning Algorithms, Python Programming, Computational Logic, Computer Programming, Calculus, Human Learning, Regression, Linear Algebra, Mathematics",3 - 6 Months,Andrew Ng,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/neural-networks-deep-learning
Advanced Learning Algorithms,DeepLearning.AI,Beginner,4.9,"Summary:
The course focuses on building and training neural networks with TensorFlow for multi-class classification. It also covers applying best practices for machine learning development to ensure models generalize well to real-world data and tasks. Additionally, students will learn to build and use decision trees and tree ensemble methods such as random forests and boosted trees."," Applied Machine Learning, Machine Learning, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Deep Learning, Network Model, Tensorflow, Machine Learning Software, Network Architecture",3 - 6 Months,Andrew Ng,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/advanced-learning-algorithms
Business Analytics,University of Pennsylvania,Beginner,4.6,"Summary:
The course covers topics such as how data is used for recruiting and performance evaluation, modeling supply and demand for various business scenarios, solving business problems with data-driven decision-making, and understanding tools used to predict customer behavior."," Data Analysis, Business Analysis, Probability & Statistics, Statistical Analysis, Leadership and Management, Strategy and Operations, Basic Descriptive Statistics, Exploratory Data Analysis, Financial Analysis, Forecasting, Data Model, Mathematics, Performance Management, Strategy, Accounting, Customer Analysis, Human Resources, Human Resources Operations, Market Analysis, Market Research, Marketing, Mathematical Theory & Analysis, Operations Management, Operations Research, Organizational Development, People Analysis, People Management, Spreadsheet Software, Talent Management, Financial Accounting, Collaboration, Finance, Regulations and Compliance",3 - 6 Months,Noah Gans,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/business-analytics
"JavaScript Programming with React, Node & MongoDB",IBM,Beginner,4.4,"Summary:
The course covers programming concepts using JavaScript, writing Node.js RESTful APIs with the Express framework, creating user-friendly web applications with React, and developing best practices for deploying, scaling, and optimizing applications."," Javascript, Web Development, Computer Programming, Computer Science, Front-End Web Development, NoSQL, React (web framework)",3 - 6 Months,IBM Skills Network Team,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb
Gestión de Proyectos de Google,Google,Beginner,4.9,"Summary:
This course covers detailed practices and skills necessary to succeed in an entry-level project management position. Participants will learn to create effective documentation and artifacts throughout different project phases, understand Agile methodology and Scrum functions, and practice strategic communication, problem solving, and stakeholder management in real-world situations."," Leadership and Management, Project Management, Strategy and Operations, Organizational Development, Planning, Strategy, Collaboration, Communication, Adaptability, Change Management, Critical Thinking, Decision Making, Media Strategy & Planning, Process Analysis, Probability & Statistics, Risk Management, Scrum (Software Development), Agile Software Development, Budget Management, Continuous Integration, Product Management, Search Engine Optimization, Business Communication, Product Development, Estimation, Software Engineering, Supply Chain and Logistics",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/gestion-de-proyectos-de-google
IBM Introduction to Machine Learning,IBM,Intermediate,4.6,"Summary:
This course explores the potential applications of machine learning and helps students gain technical skills in SQL, machine learning modelling, supervised and unsupervised learning, regression, and classification. Students will also learn how to identify opportunities to utilize machine learning in their organization or career, and communicate their findings to both experts and non-experts."," Machine Learning, Machine Learning Algorithms, Algorithms, Statistical Machine Learning, Human Learning, Probability & Statistics, Applied Machine Learning, Data Analysis, Regression, General Statistics, Python Programming, Feature Engineering, Machine Learning Software, Exploratory Data Analysis, Dimensionality Reduction, Statistical Analysis, Data Model, Statistical Tests, Data Analysis Software, Data Structures",3 - 6 Months,Xintong Li,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/ibm-intro-machine-learning
Become a CBRS Certified Professional Installer by Google,Google - Spectrum Sharing,Mixed,4.6,"Summary:
The course provides an overview of CBRS, shared spectrum, and the CBRS ecosystem, including users, systems, and devices. It also covers the role of CPIs in CBRS, explaining what CPIs are, why they are needed, and when they are needed. Additionally, the course offers guidance on how to become a CPI, including determining installation parameters for the SAS and providing troubleshooting tips."," Communication, SAS (Software), Regulations and Compliance, Systems Design, System Security, Network Architecture, Process Analysis, Training, Decision Making, Operating Systems",3 - 6 Months,check out the website in given url for more information,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/google-cbrs-cpi-training
Ciberseguridad de Google,Google,Beginner,4.9,"Summary:
The course covers topics such as SQL, Intrusion Detection Systems (IDS), Linux, Python programming, and Security Information and Event Management (SIEM) tools."," Computer Programming, Databases, Linux, Python Programming, SQL",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/ciberseguridad-de-google
"Python for Data Science, AI & Development",IBM,Beginner,4.6,"Summary:
This course focuses on learning Python, the most popular programming language used in Data Science and Software Development. Students will learn Python programming logic such as Variables, Data Structures, Branching, Loops, Functions, Objects & Classes. They will also demonstrate proficiency in using Python libraries like Pandas & Numpy, and develop code using Jupyter Notebooks. Additionally, students will learn how to access and web scrape data using APIs and Python libraries like Beautiful Soup."," Python Programming, Computer Programming, Data Analysis",3 - 6 Months,Joseph Santarcangelo,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/python-for-applied-data-science-ai
Indigenous Canada,University of Alberta,Mixed,4.8,"Summary:
The course covers various subjects including Art, History, Indigenous Studies, Human Rights and Allyship, and Politics.", Critical Thinking,3 - 6 Months,check out the website in given url for more information,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/indigenous-canada
The Bits and Bytes of Computer Networking,Google,Beginner,4.7,"Summary:
The course covers Domain Name System (DNS), IPv4, network models, and troubleshooting techniques."," Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Critical Thinking, Problem Solving, Computer Architecture, Human Computer Interaction, Network Security, Cloud Computing",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/computer-networking
Connect and Protect: Networks and Network Security,Google,Beginner,4.8,"Summary:
The course covers defining types of networks and their components, illustrating the process of data transmission over a network, understanding network security against intrusion tactics, and describing system hardening techniques."," Network Security, Cloud Computing, Network Architecture",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/networks-and-network-security
Graphic Design,California Institute of the Arts,Beginner,4.7,"Summary:
This course provides fundamental skills for becoming a graphic designer, including image-making and typography. Students will complete a capstone project for their professional portfolio, and learn about interface design, motion graphics, and editorial design."," Graphic Design, Design and Product, Visual Design, Communication, Computer Graphic Techniques, Computer Graphics, Creativity, Graph Theory, Visualization (Computer Graphics), Interactive Design",3 - 6 Months,Anther Kiley,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/graphic-design
Google Marketing Digital e E-Commerce,Google,Beginner,4.8,"Summary:
This course teaches the fundamentals of digital marketing and e-commerce, providing the necessary skills to secure an entry-level job. Students will learn how to attract and interact with customers through digital marketing channels such as search and email, as well as how to measure marketing performance using analytics and data. Additionally, students will learn how to create online e-commerce stores, analyze online performance efforts, and increase customer loyalty."," E-Commerce, Marketing, Search Engine Optimization, Strategy",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/certificado-de-carrera-de-google-marketing-digital-e-e-commerce
Introduction to Psychology,Yale University,Beginner,4.9,"The course covers critical thinking, problem solving, analytical thinking, abstract thinking, and reasoning.", Critical Thinking,3 - 6 Months,check out the website in given url for more information,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/introduction-psychology
Prepare Data for Exploration,Google,Beginner,4.8,"Summary:
The course covers factors to consider when making decisions about data collection, the difference between biased and unbiased data, databases and their functions/components, and best practices for organizing data."," Data Management, Data Analysis, Databases, Microsoft Excel, SQL, Spreadsheet Software",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/data-preparation
Excel Skills for Business,Macquarie University,Beginner,4.9,"Summary:
This course covers navigating the Excel user interface, entering, manipulating, and formatting data. Students will learn to use formulas and functions for calculations, automate choices and data lookups, analyze data, and create charts and tables to present results effectively. Additionally, the course includes creating easy-to-use spreadsheets, validating data, correcting errors, and creating navigation aids for large workbooks."," Spreadsheet Software, Business Analysis, Microsoft Excel, Data Analysis, Plot (Graphics), Data Visualization, Data Model, Databases, Finance, Leadership and Management",3 - 6 Months,Dr Prashan S. M. Karunaratne,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/excel
"TESOL Certificate, Part 1: Teach English Now!",Arizona State University,Beginner,4.9,"Summary:
The course covers basic modes of language learning, designing lesson plans and learning activities, applying best practices for teaching listening, speaking, and pronunciation, as well as maintaining control of a classroom and preventing teacher burnout."," Human Learning, Planning, Strategy, Mergers & Acquisitions",3 - 6 Months,Dr. Shane Dixon,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/tesol
Preparing for Google Cloud Certification: Cloud Engineer,Google Cloud,Intermediate,4.7,"Summary:
This course provides the essential skills for success in a cloud engineering role and prepares students for the Associate Cloud Engineer certification. Participants will gain knowledge about the infrastructure and platform services offered by Google Cloud Platform."," Cloud Computing, Google Cloud Platform, Cloud Platforms, Computer Architecture, Cloud Applications, Cloud Engineering, Cloud Storage, Computer Networking, Cloud Management, Google App Engine, Kubernetes, Cloud Infrastructure, Cloud-Based Integration, Computer Programming Tools, Computer Programming, DevOps, Network Architecture, Billing & Invoicing, Data Analysis, Web Development, Leadership and Management, Product Strategy",3 - 6 Months,Google Cloud Training,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/cloud-engineering-gcp
Preparing for Google Cloud Certification: Cloud Architect,Google Cloud,Intermediate,4.7,"Summary:
This course helps students develop the skills required for a cloud architect role and prepares them for the Professional Cloud Architect certification. Students will learn about the infrastructure and platform services offered by Google Cloud Platform."," Google Cloud Platform, Cloud Computing, Cloud Engineering, Cloud Applications, Cloud Platforms, Cloud Management, Computer Architecture, Cloud Infrastructure, Critical Thinking, Billing & Invoicing, Cloud Storage, Cloud-Based Integration, Computer Networking, DevOps, Google App Engine, Kubernetes, Devops Tools, Network Architecture, Computer Programming, Computer Security Models, Leadership and Management, Operational Analysis, Product Strategy",3 - 6 Months,Google Cloud Training,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/gcp-cloud-architect
What is Data Science?,IBM,Beginner,4.7,"Summary:
The course covers the definition and importance of data science in today's data-driven world, discusses different career paths in data science, provides advice from experienced data science professionals for beginners in the field, and explains why data science is the most in-demand job in the 21st century."," Big Data, Data Analysis, Data Mining, Data Science, Deep Learning, Machine Learning, Regression, Writing",3 - 6 Months,Rav Ahuja,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/what-is-datascience
Project Planning: Putting It All Together,Google,Beginner,4.8,"Summary:
This course covers the components and significance of the project planning phase, including tools and best practices for building project and risk management plans. It also provides guidance on estimating, tracking, and maintaining a budget, as well as drafting and managing a communication plan."," Project Management, Strategy and Operations, Leadership and Management, Entrepreneurship, Finance, Planning, Supply Chain and Logistics, Budget Management, Communication, Risk Management, Procurement",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/project-planning-google
Construction Management,Columbia University,Beginner,4.7,"Summary:
The course covers major construction management fundamentals, key project scheduling techniques, types of cost estimates, and monitoring project cash flow."," Project Management, Leadership and Management, Strategy and Operations, Planning, Estimation, Operations Management, Budget Management, Accounting, Decision Making, Finance, Cost Accounting, Critical Thinking, Financial Accounting, Performance Management, Strategy, Financial Analysis, Investment Management, Financial Management, Process Analysis, Risk Management, Computational Logic, Statistical Visualization, Collaboration, Innovation, Data Visualization, Change Management, Business Transformation, Supply Chain and Logistics, People Development, Entrepreneurship, Human Resources",3 - 6 Months,"Ibrahim Odeh, Ph.D., MBA",FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/construction-management
AI Product Management,Duke University,Beginner,4.6,"Summary:
The course covers the identification of when and how machine learning can be applied to solve problems. It also focuses on applying human-centered design practices to design AI product experiences that prioritize privacy and ethical standards. Additionally, participants will learn to lead machine learning projects using data science processes and industry best practices."," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Probability & Statistics, Regression, Design and Product, Human Computer Interaction, Communication, Human Factors (Security), Human Learning, User Experience, User Experience Design, Data Analysis, Data Mining, Deep Learning, Project Management, Algorithms, Data Science, Leadership and Management",3 - 6 Months,Jon Reifschneider,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/ai-product-management-duke
AWS Cloud Solutions Architect,Amazon Web Services,Intermediate,4.8,"Summary:
This course teaches how to make informed decisions on applying key AWS services for various aspects such as compute, storage, database, networking, monitoring, and security. It also covers designing architectural solutions for cost, performance, and operational excellence to tackle common business challenges. Participants will learn to create and operate a secure and scalable data lake, optimize performance and costs, and prepare for certification exams by identifying strengths, weaknesses, and strategies for correct responses."," Amazon Web Services, Cloud Computing, Cloud Storage, Data Management, Big Data, Cloud Applications, Cloud Engineering, Cloud Platforms, Data Analysis, Data Warehousing, Extract, Transform, Load, Cloud Management, Cloud-Based Integration, Data Architecture, Cloud Infrastructure, Data Structures, Data Visualization, Database Design, Software Architecture, Leadership and Management, Machine Learning",3 - 6 Months,Morgan Willis,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/aws-cloud-solutions-architect
Digital Product Management,University of Virginia,Beginner,4.7,"Summary:
This course focuses on creating and managing a team charter to achieve alignment and autonomy, leading with actionable design narrative for customers, fostering a culture of experimentation through hypothesis-driven development, and integrating relevant analytics into product programs."," Agile Software Development, Product Management, Leadership and Management, Design and Product, Software Engineering, Product Development, Project Management, User Experience, Customer Analysis, Product Design, Research and Design, Data Analysis, Experiment, Business Analysis, Communication, Continuous Delivery, Planning, Product Strategy, Strategy",3 - 6 Months,Alex Cowan,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/uva-darden-digital-product-management
Introduction to Statistics,Stanford University,Beginner,4.6,"Summary:
To access more detailed information about the course, please visit the website at the provided URL."," General Statistics, Probability & Statistics, Statistical Analysis, Critical Thinking, Basic Descriptive Statistics, Data Analysis, Statistical Tests, Probability Distribution, Problem Solving, Statistical Visualization",3 - 6 Months,check out the website in given url for more information,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/stanford-statistics
Learn SQL Basics for Data Science,"University of California, Davis",Beginner,4.6,"Summary:
This course teaches students how to use SQL commands to filter, sort, and summarize data, manipulate strings, dates, and numerical data from different sources for analysis. Students will learn how to assess and create datasets to solve business questions using SQL. Additionally, students will use collaborative Databricks workspace to create end-to-end pipelines that read data, transform it, and save the result. The course also covers developing project proposals, selecting data, performing statistical analysis, developing metrics, and presenting findings with recommendations."," Databases, SQL, Data Management, Data Analysis, Big Data, Data Model, Exploratory Data Analysis, Database Administration, Problem Solving, Database Theory, Database Design, Business Analysis, Extract, Transform, Load, Critical Thinking, Apache, Data Architecture, Customer Analysis, Distributed Computing Architecture, Statistical Tests, Python Programming, Data Science",3 - 6 Months,Don Noxon,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/specializations/learn-sql-basics-data-science
Attract and Engage Customers with Digital Marketing,Google,Beginner,4.8,"Summary:
The course covers strategies for building brand awareness among potential customers, including the purpose of SEO and essential terms, as well as optimizing website content for SEO. Additionally, it explores search engine marketing (SEM) and its benefits for businesses."," Digital Marketing, Marketing, Search Engine Optimization, Marketing Management, Advertising, Media Strategy & Planning, Persona Research, Web Design, Web Development, Web Development Tools",3 - 6 Months,Google Career Certificates,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/learn/attract-and-engage-customers
AWS Cloud Technology Consultant,Amazon Web Services,Beginner,4.8,"Summary:
This course teaches students how to understand and translate business goals and drivers into technical solutions, provide technical direction and oversight to cloud implementation teams, and create design for cloud-based solutions for infrastructure and platforms. Students will also learn how to gather technical requirements, assess client capabilities, and provide appropriate cloud solution recommendations."," Amazon Web Services, Cloud API, Cloud Computing, Cloud Infrastructure, Cloud Storage, Continuous Integration, Customer Support, Data Analysis, Data Architecture, DevOps, Information Technology, Leadership and Management, Project Management, Python Programming, Software Architecture, Software Testing, Strategy, Web Development",3 - 6 Months,Morgan Willis,FREE-If you want to add a Verified Certificate check out the price in the website,https://www.coursera.org/professional-certificates/aws-cloud-technology-consultant
