Title,Organization,short summary,Skills,Completion Time,Instructor,Ratings,Cost,Level,Link
"HTML, CSS, and Javascript for Web Developers",Johns Hopkins University,"HTML,JavaScript,Css Frameworks,Cascading Style Sheets (CSS),"," Front-End Web Development, HTML and CSS, Javascript, Web Development",3 - 6 Months,check out the website in given url for more information,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Mixed,https://www.coursera.org/learn/html-css-javascript-for-web-developers
Share Data Through the Art of Visualization,Google,"Describe the use of data visualizations to talk about data and the results of data analysis.,Describe the use of data visualizations to talk about data and the results of data analysis.,Identify Tableau as a data visualization tool and understand its uses.,Identify Tableau as a data visualization tool and understand its uses.,Explain what data driven stories are including reference to their importance and their attributes.,Explain what data driven stories are including reference to their importance and their attributes.,Explain principles and practices associated with effective presentations.,Explain principles and practices associated with effective presentations.,"," Business Communication, Data Analysis, Data Visualization, Data Visualization Software, Tableau Software",3 - 6 Months,Google Career Certificates,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/visualize-data
Risk Management,New York Institute of Finance,"Understand the concepts and principles of credit risk management and the steps to manage portfolio credit risks. ,Understand the concepts and principles of credit risk management and the steps to manage portfolio credit risks. ,Use statistical models to measure risk associated with different types of investments. ,Use statistical models to measure risk associated with different types of investments. ,How to build an operational risk assessment program.,How to build an operational risk assessment program.,"," Leadership and Management, Risk Management, Finance, Probability & Statistics, Strategy, Financial Analysis, Strategy and Operations, Operations Management, Statistical Tests, Business Analysis, Business Process Management, Operational Analysis, Market Analysis, Financial Management, Statistical Analysis, Regulations and Compliance, Banking, General Statistics, Operating Systems, Operations Research, Critical Thinking, Probability Distribution, Market Research",3 - 6 Months,Jack Farmer,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/risk-management
Google Project Management,Google,"Une compréhension des pratiques et des compétences nécessaires pour réussir dans un poste de gestionnaire de projet junior.,Une compréhension des pratiques et des compétences nécessaires pour réussir dans un poste de gestionnaire de projet junior.,Vous apprendrez à créer une documentation de projet et des procédés efficaces tout au long des différentes phases d’un projet.,Vous apprendrez à créer une documentation de projet et des procédés efficaces tout au long des différentes phases d’un projet.,Vous apprendrez les bases de la gestion de projet Agile y compris Scrum.,Vous apprendrez les bases de la gestion de projet Agile y compris Scrum.,Vous pratiquerez la communication stratégique, la résolution de problèmes et la gestion des partenaires dans le cadre de scénarios concrets.,Vous pratiquerez la communication stratégique, la résolution de problèmes et la gestion des partenaires dans le cadre de scénarios concrets.,"," Leadership and Management, Planning, Communication, Strategy, Strategy and Operations, Business Analysis, Business Development, Business Psychology, Collaboration, Decision Making, Design and Product, Data Analysis, Entrepreneurship, Business Communication, Conflict Management, Emotional Intelligence, People Management, Compensation, Critical Thinking, Network Security, Adaptability, Organizational Development, Project Management",3 - 6 Months,Google Career Certificates,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/professional-certificates/gestion-de-projet-google
From Likes to Leads: Interact with Customers Online,Google,"Define social media marketing and describe its purpose,Define social media marketing and describe its purpose,Identify core pillars of social media marketing: strategy, planning and publishing, listening and engagement, analytics and reporting, advertising,Identify core pillars of social media marketing: strategy, planning and publishing, listening and engagement, analytics and reporting, advertising,Define the goals of a social media campaign,Define the goals of a social media campaign,Write, design, and repurpose engaging content for social media,Write, design, and repurpose engaging content for social media,"," Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Social Media, Advertising, Data Analysis, Strategy",3 - 6 Months,Google Career Certificates,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/from-likes-to-leads
Accelerated Computer Science Fundamentals,University of Illinois at Urbana-Champaign,"Design and implement an object-oriented program in the C++ language. Select and implement appropriate data structures that best utilize resources to solve a computational problem. Analyze the running time and space needs of an algorithm, asymptotically to ensure it is appropriate at scale, including for big data."," Computer Programming, C Programming Language Family, Data Structures, Algorithms, C++ Programming, Theoretical Computer Science, Programming Principles, Computational Thinking, Problem Solving, Computer Programming Tools, Critical Thinking, Computational Logic, Graph Theory",3 - 6 Months,Wade Fagen-Ulmschneider,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Intermediate,https://www.coursera.org/specializations/cs-fundamentals
AI Fundamentals for Non-Data Scientists,University of Pennsylvania,check out the website in given url for more information," Machine Learning, Machine Learning Algorithms, Artificial Neural Networks, Data Analysis, Deep Learning, Human Learning, Big Data",3 - 6 Months,Kartik Hosanagar,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Mixed,https://www.coursera.org/learn/wharton-ai-fundamentals-non-data-scientists
Preparation for CompTIA A+ Certification,IBM,"Describe and troubleshoot laptop, mobile device, video, resolution, networking, storage, motherboard, CPU, BIOS, and power supply issues.,Describe and troubleshoot laptop, mobile device, video, resolution, networking, storage, motherboard, CPU, BIOS, and power supply issues.,Troubleshoot various printer types and settings, and list common features and commands across operating systems.,Troubleshoot various printer types and settings, and list common features and commands across operating systems.,Explain the advantages of using Active Directory, Microsoft Windows security tools, data destruction for mobile device security.,Explain the advantages of using Active Directory, Microsoft Windows security tools, data destruction for mobile device security.,Demonstrate mastery of CompTIA A+ Core 1 and Core 2 domains by completing mock certification exams.,Demonstrate mastery of CompTIA A+ Core 1 and Core 2 domains by completing mock certification exams.,"," Linux, Networking Hardware, Operating Systems",3 - 6 Months,IBM Skills Network Team,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Intermediate,https://www.coursera.org/specializations/preparation-comptia-certification
Preparing  Data for Analysis with Microsoft Excel,Microsoft,"Data Analysis,Microsoft Excel,Preparing Data,power bi,formulas and functions,"," Data Analysis, Microsoft Excel, Power BI",3 - 6 Months, Microsoft,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/preparing-data-for-analysis-with-microsoft-excel
Stanford Introduction to Food and Health,Stanford University,"Health Informatics,Nutrition,Food Safety,Food Science,",check out the website in given url for more information,3 - 6 Months,check out the website in given url for more information,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/food-and-health
Foundations of Data Science,Google,"Understand common careers and industries that use advanced data analytics,Understand common careers and industries that use advanced data analytics,Investigate the impact data analysis can have on decision-making,Investigate the impact data analysis can have on decision-making,Explain how data professionals preserve data privacy and ethics ,Explain how data professionals preserve data privacy and ethics ,Develop a project plan considering roles and responsibilities of team members,Develop a project plan considering roles and responsibilities of team members,"," Communication, Data Analysis, Planning, Project Management",3 - 6 Months,Google Career Certificates,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Advanced,https://www.coursera.org/learn/foundations-of-data-science
Global Procurement and Sourcing,Rutgers the State University of New Jersey,"Why Procurement is important to the firm and it works within the firm,Why Procurement is important to the firm and it works within the firm,How to select and evaluate suppliers,How to select and evaluate suppliers,Learn how to analyze supply markets,Learn how to analyze supply markets,Iimprove your negotiation skills and thereby improve your outcomes,Iimprove your negotiation skills and thereby improve your outcomes,"," Procurement, Customer Relationship Management, Leadership and Management, Negotiation, Supplier Relationship Management",3 - 6 Months,Don Klock ,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/procurement-sourcing
Artificial Intelligence in Marketing,University of Virginia,"How to use data-driven AI to improve customer engagement,How to use data-driven AI to improve customer engagement,How to develop networked business models and leverage network effects,How to develop networked business models and leverage network effects,How to build a sustainable competitive advantage from data gathered on digital platforms,How to build a sustainable competitive advantage from data gathered on digital platforms,How to use algorithms, networks, and data to create AI Relationship Moments that are personalized to individual customers,How to use algorithms, networks, and data to create AI Relationship Moments that are personalized to individual customers,"," Digital Marketing, Marketing, Algorithms, Customer Relationship Management, Market Analysis, Strategy, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing Management",3 - 6 Months,check out the website in given url for more information,4.5,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/uva-darden-artificial-intelligence-marketing
Unilever Supply Chain Data Analyst,Unilever,"Data Analysis,Problem Solving,Introduction to SQL,Presentation Layer,Data Visualization,Supply Chain Risk Mitigation,"," Data Analysis, Data Visualization, Leadership and Management, Problem Solving, Risk Management",3 - 6 Months,Unilever Team,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/professional-certificates/unilever-supply-chain-data-analyst
System Administration and IT Infrastructure Services,Google,"Directory Service,Lightweight Directory Access Protocol (LDAP),Backup,"," Cloud Computing, Leadership and Management",3 - 6 Months,Google Career Certificates,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/system-administration-it-infrastructure-services
Introduction to Machine Learning in Production,DeepLearning.AI,"Identify the key components of the ML lifecycle and pipeline and compare the ML modeling iterative cycle with the ML product deployment cycle.,Identify the key components of the ML lifecycle and pipeline and compare the ML modeling iterative cycle with the ML product deployment cycle.,,,Understand how performance on a small set of disproportionately important examples may be more crucial than performance on the majority of examples.,Understand how performance on a small set of disproportionately important examples may be more crucial than performance on the majority of examples.,,,Solve problems for structured, unstructured, small, and big data. Understand why label consistency is essential and how you can improve it.,Solve problems for structured, unstructured, small, and big data. Understand why label consistency is essential and how you can improve it.,,,"," Machine Learning, Applied Machine Learning, Leadership and Management",3 - 6 Months,Andrew Ng,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Advanced,https://www.coursera.org/learn/introduction-to-machine-learning-in-production
Private Equity and Venture Capital,Università Bocconi,"Valuation (Finance),Venture Capital,Venture Capital Financing,Private Equity,"," Business Analysis, Entrepreneurial Finance, Finance, Financial Management, Investment Management, Mergers & Acquisitions, Entrepreneurship, Decision Making, Leadership and Management, Risk Management",3 - 6 Months,check out the website in given url for more information,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Mixed,https://www.coursera.org/learn/private-equity
Management of Fashion and Luxury Companies,Università Bocconi,"Strategic Management,Business Model,Luxury Goods,Brand Management,"," Brand Management, Leadership and Management, Marketing, Retail Sales, Strategy, Business Analysis, Communication, Market Analysis, Media Strategy & Planning, Product Design, Product Development",3 - 6 Months,check out the website in given url for more information,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Mixed,https://www.coursera.org/learn/mafash
Geographic Information Systems  (GIS),"University of California, Davis","Create and work with raster data.,Create and work with raster data.,Develop and analyze data for the geospatial analysis project.,Develop and analyze data for the geospatial analysis project.,Develop a large processing workflow in ModelBuilder.,Develop a large processing workflow in ModelBuilder.,Interpret and explain the results you obtained in comparison to your original GIS question and/or hypothesis.,Interpret and explain the results you obtained in comparison to your original GIS question and/or hypothesis.,"," ArcGIS, Data Analysis, Data Visualization, GIS Software, Spatial Analysis, Spatial Data Analysis, Data Visualization Software, Databases, Geovisualization, Interactive Data Visualization, Leadership and Management",3 - 6 Months,Nick Santos,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/gis
Agile Development,University of Virginia,"How to determine what's valuable to a user early by focusing your team on testable narratives and creating a strong shared perspective. How to drive a focus on outcomes over outputs by facilitating a culture of experimentation and a test-driven, results-driven approach to agile.How to charter and focus an analytics (and data science) program that enhances your core objectives."," Agile Software Development, Design and Product, Leadership and Management, Product Management, Software Engineering, Product Development, Project Management, User Experience, Customer Analysis, Product Design, Research and Design, Data Analysis, Experiment, Business Analysis, Communication, Continuous Delivery",3 - 6 Months,Alex Cowan,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/agile-development
Convolutional Neural Networks,DeepLearning.AI,"Facial Recognition System,Tensorflow,Convolutional Neural Network,Deep Learning,Object Detection and Segmentation,"," Artificial Neural Networks, Computer Vision, Machine Learning, Applied Machine Learning, Deep Learning, Machine Learning Software, Machine Learning Algorithms, Network Model, Tensorflow, Network Architecture, Human Learning",3 - 6 Months,Andrew Ng,4.9,FREE-If you want to add a Verified Certificate check out the price in the website,Intermediate,https://www.coursera.org/learn/convolutional-neural-networks
Build Wireframes and Low-Fidelity Prototypes,Google,"Create storyboards to come up with ideas about solutions to user needs.,Create storyboards to come up with ideas about solutions to user needs.,Create wireframes on paper and digitally in the design tool Figma.,Create wireframes on paper and digitally in the design tool Figma.,Build paper prototypes to create interactive designs.,Build paper prototypes to create interactive designs.,Design low-fidelity prototypes in Figma. ,Design low-fidelity prototypes in Figma. ,"," Product Design, User Experience, User Research",3 - 6 Months,Google Career Certificates,4.9,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/wireframes-low-fidelity-prototypes
Introduction to Social Media Marketing,Meta,"Understand the landscape of traditional, digital, and social media marketing,Understand the landscape of traditional, digital, and social media marketing,Understand the major social media platforms, how they function, and what role they play in marketing,Understand the major social media platforms, how they function, and what role they play in marketing,Create SMART goals, identify KPIs, and define your target audience and their customer journey,Create SMART goals, identify KPIs, and define your target audience and their customer journey,Choose the right social media platforms and learn how to create social media policies,Choose the right social media platforms and learn how to create social media policies,"," Communication, Marketing, Digital Marketing, Social Media, Media Strategy & Planning, Advertising, Entrepreneurship, Marketing Management",3 - 6 Months,Anke Audenaert,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/social-media-marketing-introduction
Mergers and Acquisitions,University of Illinois at Urbana-Champaign,"Financial Accounting,Financial Modeling,Mergers And Acquisitions (M&A),Corporate Investments,"," Mergers & Acquisitions, Finance, Accounting, Financial Analysis, Financial Accounting, Banking, Business Analysis, Investment Management, Financial Management, Data Analysis, Market Analysis, Corporate Accouting, Taxes",3 - 6 Months,Oktay Urcan,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Intermediate,https://www.coursera.org/specializations/mergersandacquisitions
Drug Development Product Management,University of California San Diego,"Drug Discovery,Marketing,Drug Regulations,Clinical Trials,"," Strategy, Marketing",3 - 6 Months,Joseph D. Ma,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/drug-development-product-management
Introduction to Cloud Computing,IBM,"Define cloud computing and explain essential characteristics, history, the business case for cloud, and the emerging technologies enabled by cloud. Describe the cloud service models- IaaS, PAAS, SaaS and cloud deployment models- Public, Private, Hybrid. Explain emerging Cloud related trends including HybridMulticloud, Microservices, Serverless, Cloud Native, DevOps, and Application Modernization."," Cloud Computing, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, IBM Cloud",3 - 6 Months,Rav Ahuja,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/introduction-to-cloud
Principles of Management,Johns Hopkins University,"Effectively manage teams,Effectively manage teams,Facilitate constructive conflict & coach employees for success,Facilitate constructive conflict & coach employees for success,Focus team's work on meeting strategic & project objectives,Focus team's work on meeting strategic & project objectives,"," Leadership and Management, Planning, Strategy, Critical Thinking, Operations Management, People Management, Strategy and Operations, Business Communication, Business Intelligence, Performance Management",3 - 6 Months,check out the website in given url for more information,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Mixed,https://www.coursera.org/learn/principles-of-management
Career Success,"University of California, Irvine","Apply management principles and problem-solving skills,Apply management principles and problem-solving skills,Communicate with co-workers and produce clear and concise writing,Communicate with co-workers and produce clear and concise writing,Manage your time and plan projects effectively,Manage your time and plan projects effectively,Understand finance and use winning negotiation strategies,Understand finance and use winning negotiation strategies,"," Leadership and Management, Professional Development, Strategy and Operations, Business Communication, Adaptability, Business Analysis, Communication, Decision Making, Project Management, People Management, Critical Thinking, Collaboration, Customer Relationship Management, Strategy, Planning, Business Development, Problem Solving, Accounting, Change Management, Conflict Management, Financial Accounting, Organizational Development, Entrepreneurship, People Development, Business Research, Cost Accounting, Finance, Financial Management, General Accounting, Generally Accepted Accounting Principles (GAAP), Negotiation, Employee Relations, Financial Analysis, Writing, Benefits, Entrepreneurial Finance, Marketing, Scrum (Software Development), Estimation",3 - 6 Months,"David Standen, MBA",4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/career-success
Clinical Trials: Good Clinical Practice,Novartis," Explore the clinical trial process and the details of Good Clinical Practice principles. , Explore the clinical trial process and the details of Good Clinical Practice principles. ,",check out the website in given url for more information,3 - 6 Months,Novartis Learning,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/clinical-trials-good-clinical-practice
Generative AI: Prompt Engineering Basics,IBM,"Explain the concept and relevance of prompt engineering in generative AI models.,Explain the concept and relevance of prompt engineering in generative AI models.,Apply best practices for creating prompts and explore examples of impactful prompts.,Apply best practices for creating prompts and explore examples of impactful prompts.,Practice common prompt engineering techniques and approaches for writing effective prompts.,Practice common prompt engineering techniques and approaches for writing effective prompts.,Explore commonly used tools for prompt engineering to aid with prompt engineering. ,Explore commonly used tools for prompt engineering to aid with prompt engineering. ,", Artificial Neural Networks,3 - 6 Months,Antonio Cangiano,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone
Data Analysis with Python,IBM,"Develop Python code for cleaning and preparing data for analysis - including handling missing values, formatting, normalizing, and binning data. Perform exploratory data analysis and apply analytical techniques to real-word datasets using libraries such as Pandas, Numpy and Scipy. Build and evaluate regression models using machine learning scikit-learn library and use them for prediction and decision making."," Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Python Programming, Regression",3 - 6 Months,Joseph Santarcangelo,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/data-analysis-with-python
Sequence Models,DeepLearning.AI,"Gated Recurrent Unit (GRU),Recurrent Neural Network,Natural Language Processing,Long Short Term Memory (LSTM),Attention Models,"," Artificial Neural Networks, Deep Learning, Machine Learning, Natural Language Processing, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Human Learning, Machine Learning Software, Linear Algebra",3 - 6 Months,Andrew Ng,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Intermediate,https://www.coursera.org/learn/nlp-sequence-models
Project Management,University of Colorado Boulder,"By completing this specialization, you will develop familiarity with the concepts, tools, and techniques used in project management.,By completing this specialization, you will develop familiarity with the concepts, tools, and techniques used in project management.,You will be able to describe the role of the project manager and the different phases of the project life cycle.,You will be able to describe the role of the project manager and the different phases of the project life cycle.,You will also be able to distinguish different project management methodologies and determine which is best for a particular project.,You will also be able to distinguish different project management methodologies and determine which is best for a particular project.,"," Leadership and Management, Project Management, Planning, Strategy and Operations, Product Management, Agile Software Development, People Management, Strategy, Scrum (Software Development), Performance Management, Risk Management, Business Process Management, Business Communication, Decision Making, Adaptability, Organizational Development, Product Development, Data Analysis, Estimation, Budget Management",3 - 6 Months,"Christy Bozic, PhD, PMP",4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/meem-project-management
Foundations of Business Intelligence,Google,"Understand common careers and industries that use BI,Understand common careers and industries that use BI,Investigate the impact data can have on business decision-making,Investigate the impact data can have on business decision-making,Explain the important role that BI professionals have in businesses,Explain the important role that BI professionals have in businesses,Develop a BI project plan ,Develop a BI project plan ,"," Business Intelligence, Data Analysis, Leadership and Management, Strategy",3 - 6 Months,Google Career Certificates,4.7,FREE-If you want to add a Verified Certificate check out the price in the website,Advanced,https://www.coursera.org/learn/foundations-of-business-intelligence
The Business of Health Care,University of Pennsylvania,"Insurance,Health Economics,"," Leadership and Management, Finance, Decision Making, Performance Management, Strategy and Operations, Operations Management, Business Analysis, Financial Analysis, Financial Management, Business Psychology, Accounting, Accounts Payable and Receivable, Financial Accounting, General Accounting, Management Accounting, People Management, Generally Accepted Accounting Principles (GAAP), People Analysis, Strategy, Business Process Management, Innovation, Leadership Development, Payments, Behavioral Economics, Problem Solving, Compensation, Correlation And Dependence, Insurance Sales, Research and Design, Risk Management",3 - 6 Months,Christian Terwiesch,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/healthcare-administration-management
Clinical Trials Operations,Johns Hopkins University,"Design and implement clinical trials,Design and implement clinical trials,Collect, manage, and analyze data,Collect, manage, and analyze data,Conduct trial monitoring and quality assurance,Conduct trial monitoring and quality assurance,Recruit and retain clinical trial particpants,Recruit and retain clinical trial particpants,"," Leadership and Management, Data Management, Clinical Data Management, Operations Management, Communication, Data Analysis, Recruitment, Statistical Analysis",3 - 6 Months,"David M. Shade, JD",4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/clinical-trials-operations
Modern and Contemporary Art and Design,The Museum of Modern Art,"Develop critical thinking and looking skills to understand how artists and designers respond to the social and cultural issues of their time. Develop a deeper understanding of artists’ and designers’ processes, including modes of experimentation and responses to technological innovation. Find inspiration from art all around you."," Design and Product, Critical Thinking, Creativity",3 - 6 Months,Sarah Meister,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/modern-contemporary-art-design
Soporte de Tecnologías de la Información de Google,Google,"Código binario,Soporte al cliente,Linux,Solución de problemas,Powershell,Interfaz de comandos,Sistemas de archivos de Linux,Ciberseguridad,Criptografía,Seguridad inalámbrica,Seguridad de la red,Servicio de directorio,Protocolo ligero de acceso a directorios,Respaldo,Ipv4,Sistema de nombres de dominio,Modelo de red,View all skills,"," Communication, Computer Networking, Computer Architecture, Operating Systems, Network Security, Networking Hardware, Security Engineering, Network Architecture, Software Security, Human Computer Interaction, Security Software, Software-Defined Networking, System Software, Theoretical Computer Science, Cloud Computing, Data Management, Computational Logic, Network Model, Customer Support, System Security, Security Strategy, Cryptography, Problem Solving, Programming Principles, Adaptability, Linux",3 - 6 Months,Onlea support,4.9,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/professional-certificates/soporte-de-tecnologias-de-informacion-google
Cybersecurity Fundamentals,IBM,"Discuss cybersecurity fundamentals, including topics like the five security principles, CIA triad, IAM, endpoint security, and security domains. Identify common security threats and risks; explain characteristics of cyberattacks and best practices to guard against them. Explain cybersecurity roles, including their key responsibilities, daily tasks, career path, relevant certifications, and salary ranges."," System Security, Cyberattacks, Cryptography, Network Security, Security Engineering",3 - 6 Months,IBM Skills Network Team,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/cybersecurity-fundamentals
Google Data Analytics Capstone: Complete a Case Study,Google,"Differentiate between a capstone project, case study, and a portfolio.,Differentiate between a capstone project, case study, and a portfolio.,Identify the key features and attributes of a completed case study.,Identify the key features and attributes of a completed case study.,Apply the practices and procedures associated with the data analysis process to a given set of data.,Apply the practices and procedures associated with the data analysis process to a given set of data.,Discuss the use of case studies/portfolios when communicating with recruiters and potential employers.,Discuss the use of case studies/portfolios when communicating with recruiters and potential employers.,"," Business Analysis, Computer Programming, Data Analysis, Data Visualization, Exploratory Data Analysis, R Programming, SQL, Spreadsheet Software, Statistical Programming, Tableau Software",3 - 6 Months,Google Career Certificates,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/google-data-analytics-capstone
Creative Writing,Wesleyan University,"Short Story Writing,Fiction Writing,Creativity,Copy Editing,"," Creativity, Human Learning, Storytelling, Writing",3 - 6 Months,Salvatore Scibona,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/creative-writing
Methods and Statistics in Social Sciences,University of Amsterdam,"Statistics,Statistical Inference,R Programming,Qualitative Research,"," Probability & Statistics, Statistical Tests, General Statistics, Correlation And Dependence, Statistical Programming, Basic Descriptive Statistics, Statistical Analysis, Research and Design, Data Analysis, Regression, Adaptability, Computational Thinking, Critical Thinking, People Analysis, Theoretical Computer Science, Writing, Probability Distribution, Problem Solving, R Programming, Exploratory Data Analysis, Experiment, Computer Programming",3 - 6 Months,Emiel van Loon,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/social-science
Generative AI for Executives and Business Leaders,IBM,"Understand the history and impact of generative AI for business,Understand the history and impact of generative AI for business,Learn about the importance of your data in relation to business AI,Learn about the importance of your data in relation to business AI,Know the importance of trust, transparency and governance,Know the importance of trust, transparency and governance,Apply generative AI to key use cases like customer service and application modernization,Apply generative AI to key use cases like customer service and application modernization,",check out the website in given url for more information,3 - 6 Months,check out the website in given url for more information,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/generative-ai-for-executives-business-leaders
Sound the Alarm: Detection and Response,Google,"Identify the steps to contain, eradicate, and recover from an incident,Identify the steps to contain, eradicate, and recover from an incident,Analyze packets to interpret network communications,Analyze packets to interpret network communications,Understand basic syntax, components of signatures and logs in Intrusion Detection Systems (IDS) and Network Intrusion Detection Systems (NIDS) tools,Understand basic syntax, components of signatures and logs in Intrusion Detection Systems (IDS) and Network Intrusion Detection Systems (NIDS) tools,Perform queries in Security Information and Event Management (SIEM) tools to investigate an event,Perform queries in Security Information and Event Management (SIEM) tools to investigate an event,"," Linux, Network Security, Computer Security Incident Management, Leadership and Management",3 - 6 Months,Google Career Certificates,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/learn/detection-and-response
"Influencing: Storytelling, Change Management and Governance",Macquarie University,"Apply a range of communication strategies to a variety of contexts to build rapport, overcome resistance, and find acceptance,Apply a range of communication strategies to a variety of contexts to build rapport, overcome resistance, and find acceptance,Expand your knowledge of, and personal competence in, negotiation and conflict resolution,Expand your knowledge of, and personal competence in, negotiation and conflict resolution,Develop a creative and practical change capability: the discipline of influencing yourself and others to achieve a purpose,Develop a creative and practical change capability: the discipline of influencing yourself and others to achieve a purpose,Design risk governance structures to ensure that your organisation achieves its objectives, engaging all the relevant stakeholders,Design risk governance structures to ensure that your organisation achieves its objectives, engaging all the relevant stakeholders,"," Leadership and Management, Communication, Business Psychology, Conflict Management, Strategy and Operations, Change Management, Influencing, Organizational Development, Risk Management, Marketing, Negotiation, Sales, Critical Thinking, Decision Making, Entrepreneurship, Human Resources, Probability & Statistics, Business Communication, Employee Relations, Business Process Management, Data Analysis, People Analysis, Storytelling",3 - 6 Months,Dr Andrew Heys,4.8,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/influencing-storytelling-change-management
IBM Mainframe Developer,IBM ,"Mainframe,Enterprise Software,security,IBM Z,z/OS,Interfaces,Computer Programming,Command-Line Interface,Euler'S Totient Function,Intrinsic Function,Sorting,COBOL coding,Symbols,COBOL Structure,COBOL Divisions,Column Structure,Issue Tracking System,Scrum (Software Development),View all skills,"," Computer Programming, Other Programming Languages, Software Engineering, Theoretical Computer Science, Computer Architecture",3 - 6 Months,Jeff Bisti,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Intermediate,https://www.coursera.org/professional-certificates/ibm-mainframe-developer
Microsoft Azure Fundamentals AZ-900 Exam Prep,Microsoft,"Application Design,Microsoft Azure,Cloud Computing,Cloud Governance Strategy,Test Preparation,Cloud Computing Security,Artificial Intelligence (AI),Internet Of Things (IOT),"," Cloud Computing, Microsoft Azure, Cloud Management, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Network Security, Cloud Engineering, Cloud Standards, DevOps, Leadership and Management, System Security, Cloud Storage, Machine Learning, Software As A Service, Cloud-Based Integration, Software Security, Computer Security Models, Data Management, Network Architecture, Security Software, Databases",3 - 6 Months, Microsoft,4.6,FREE-If you want to add a Verified Certificate check out the price in the website,Beginner,https://www.coursera.org/specializations/microsoft-azure-fundamentals-az-900
