Title,Link,Organization,Instructor,Skills,Ratings,Review counts,Cost,Enrolled,Level,Cerification,Completion Time,,Decription
Security Analyst Fundamentals,https://www.coursera.org/specializations/security-analyst-fundamentals,IBM,IBM Skills Network Team," Security Strategy, Computer Security Incident Management, Python Programming, Cyberattacks, DevOps, Mobile Security, Software Security, System Software, Computer Programming, Leadership and Management",4.7,818,Free,10443,Beginner,Specialization,3 - 6 Months,,"Develop knowledge in digital forensics,Develop knowledge in digital forensics,, incident response and penetration testing.,, incident response and penetration testing.,Advance your ,Advance your ,knowledge of cybersecurity analyst tools ,knowledge of cybersecurity analyst tools ,including data and endpoint protection; SIEM; and systems and network fundamentals.  ,including data and endpoint protection; SIEM; and systems and network fundamentals.  ,Get hands-on experience to develop skills  ,Get hands-on experience to develop skills  ,via industry specific and open source Security tools.,via industry specific and open source Security tools.,Apply your skills to investigate ,Apply your skills to investigate ,a real-world security breach identifying the attack, vulnerabilities, costs and prevention recommendations.,a real-world security breach identifying the attack, vulnerabilities, costs and prevention recommendations.,"
Genomic Data Science,https://www.coursera.org/specializations/genomic-data-science,Johns Hopkins University,"Mihaela Pertea, PhD"," Bioinformatics, Computer Programming, Data Analysis, Python Programming, Computational Thinking, General Statistics, Exploratory Data Analysis, R Programming, Algorithms, Computer Programming Tools, Data Analysis Software, Biostatistics, Statistical Analysis, Programming Principles, Probability & Statistics, Statistical Tests, Data Structures, Operating Systems, Research and Design, Big Data, Computational Logic, Problem Solving, Statistical Programming, Experiment, Basic Descriptive Statistics, Correlation And Dependence",4.5,5443,Free,26455,Intermediate,Specialization,3 - 6 Months,,"Next generation sequencing experiments,Next generation sequencing experiments,Genomic technologies,Genomic technologies,DNA, RNA and epigenetic patterns,DNA, RNA and epigenetic patterns,Genome analysis,Genome analysis,"
Psychological First Aid,https://www.coursera.org/learn/psychological-first-aid,Johns Hopkins University,,,4.8,,Free,0,Mixed,Course,3 - 6 Months,,"Reflective Listening,Active Listening,Crisis Intervention,Psychological First Aid,"
Data Science: Foundations using R,https://www.coursera.org/specializations/data-science-foundations-r,Johns Hopkins University,"Roger D. Peng, PhD"," Data Analysis, R Programming, Statistical Programming, Exploratory Data Analysis, Computer Programming, Computer Programming Tools, Data Management, Programming Principles, Data Structures, Statistical Analysis, Critical Thinking, Problem Solving, General Statistics, Process Analysis, Computational Thinking, Big Data, Data Mining, Data Visualization, Databases, Extract, Transform, Load, Plot (Graphics), Communication, Computer Graphic Techniques, Computer Graphics, Interactive Data Visualization, Knitr, Visualization (Computer Graphics)",4.6,5989,Free,104792,Beginner,Specialization,3 - 6 Months,,"Use R to clean, analyze, and visualize data.,Use R to clean, analyze, and visualize data.,Learn how to ask the right questions, obtain data, and perform reproducible research.,Learn how to ask the right questions, obtain data, and perform reproducible research.,Use GitHub to manage data science projects.,Use GitHub to manage data science projects.,"
Programming for Everybody (Getting Started with Python),https://www.coursera.org/learn/python,University of Michigan,Charles Russell Severance," Computational Logic, Computational Thinking, Computer Programming, Computer Programming Tools, Critical Thinking, Problem Solving, Programming Principles, Python Programming, Software Engineering, Theoretical Computer Science",4.8,226481,Free,3064160,Beginner,Course,3 - 6 Months,,"Install Python and write your first program,Install Python and write your first program,Describe the basics of the Python programming language,Describe the basics of the Python programming language,Use variables to store, retrieve and calculate information,Use variables to store, retrieve and calculate information,Utilize core programming tools such as functions and loops,Utilize core programming tools such as functions and loops,"
Certified in Cybersecurity,https://www.coursera.org/specializations/certified-in-cybersecurity,ISC2,(ISC)² Education & Training," Computer Security Incident Management, Risk Management, Leadership and Management, Network Security, Cryptography, Cyberattacks, Operations Management",4.8,328,Free,11968,Beginner,Specialization,3 - 6 Months,,"Demonstrate that you have foundational knowledge of industry terminology, network security, security operations and policies and procedures.,Demonstrate that you have foundational knowledge of industry terminology, network security, security operations and policies and procedures.,"
Operating Systems and You: Becoming a Power User,https://www.coursera.org/learn/os-power-user,Google,Google Career Certificates," Linux, Leadership and Management, Operating Systems",4.7,27171,Free,488953,Beginner,Course,3 - 6 Months,,"Powershell,Linux File Systems,Command-Line Interface,Linux,"
Analyze Data to Answer Questions,https://www.coursera.org/learn/analyze-data,Google,Google Career Certificates," Data Analysis, Data Management, Microsoft Excel, SQL, Spreadsheet Software",4.6,10377,Free,535655,Beginner,Course,3 - 6 Months,,"Discuss the importance of organizing your data before analysis by using sorts and filters.,Discuss the importance of organizing your data before analysis by using sorts and filters.,Convert and format data.,Convert and format data.,Apply the use of functions and syntax to create SQL queries to combine data from multiple database tables.,Apply the use of functions and syntax to create SQL queries to combine data from multiple database tables.,Describe the use of functions to conduct basic calculations on data in spreadsheets.,Describe the use of functions to conduct basic calculations on data in spreadsheets.,"
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",https://www.coursera.org/learn/deep-neural-network,DeepLearning.AI,Andrew Ng," Applied Machine Learning, Deep Learning, Machine Learning, Artificial Neural Networks, Machine Learning Algorithms, Algorithms, Computer Programming, Mathematics, Python Programming, Mathematical Theory & Analysis, Tensorflow, Human Learning",4.9,62852,Free,541276,Intermediate,Course,3 - 6 Months,,"Tensorflow,Deep Learning,hyperparameter tuning,Mathematical Optimization,"
Successful Negotiation: Essential Strategies and Skills,https://www.coursera.org/learn/negotiation-skills,University of Michigan,," Contract Management, Negotiation, Communication, Decision Making, Strategy",4.8,,Free,0,Beginner,Course,3 - 6 Months,,"Understand the negotiation strategies and skills necessary for success.,Understand the negotiation strategies and skills necessary for success.,Use a negotiation analysis to prepare for negotiations.,Use a negotiation analysis to prepare for negotiations.,Key psychological tools to achieve success.,Key psychological tools to achieve success.,Practice negotiations to find out what you do well and how you can improve. ,Practice negotiations to find out what you do well and how you can improve. ,"
"Data Engineering, Big Data, and Machine Learning on GCP",https://www.coursera.org/specializations/gcp-data-machine-learning,Google Cloud,Google Cloud Training," Google Cloud Platform, Cloud Computing, Cloud Platforms, Big Data, Applied Machine Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Algorithms, Data Analysis, Data Management, Apache, Feature Engineering, SQL, Cloud Storage, Python Programming, Data Warehousing, Statistical Programming, Tensorflow",4.6,12335,Free,59511,Intermediate,Specialization,3 - 6 Months,,"Tensorflow,Bigquery,Google Cloud Platform,Cloud Computing,"
Fintech: Foundations & Applications of Financial Technology,https://www.coursera.org/specializations/wharton-fintech,University of Pennsylvania,Christopher Geczy," FinTech, Finance, BlockChain, Innovation, Investment Management, Financial Management, Financial Analysis, Risk Management, General Statistics, Payments, Algorithms, Behavioral Economics, Data Analysis, Entrepreneurial Finance, Market Research, Cryptography, Human Learning, Machine Learning Algorithms, Machine Learning Software, Securities Trading, System Security, Applied Machine Learning, Machine Learning, Product Strategy, Business Transformation, Systems Design",4.6,3473,Free,44363,Beginner,Specialization,3 - 6 Months,,"Explain crypto-currency and blockchain in financial contexts,Explain crypto-currency and blockchain in financial contexts,Evaluate investment products using Modern Portfolio Theory,Evaluate investment products using Modern Portfolio Theory,Identify the regulatory concerns presented by the most common financial technologies,Identify the regulatory concerns presented by the most common financial technologies,"
Excel Basics for Data Analysis,https://www.coursera.org/learn/excel-basics-data-analysis-ibm,IBM,Sandip Saha Joy," Microsoft Excel, Spreadsheet Software, Data Analysis, Data Science",4.8,7364,Free,300625,Beginner,Course,3 - 6 Months,,"Display working knowledge of Excel for Data Analysis.,Display working knowledge of Excel for Data Analysis.,Perform basic spreadsheet tasks including navigation, data entry, and using formulas.,Perform basic spreadsheet tasks including navigation, data entry, and using formulas.,Employ data quality techniques to import and clean data in Excel.,Employ data quality techniques to import and clean data in Excel.,Analyze data in spreadsheets by using filter, sort, look-up functions, as well as pivot tables.,Analyze data in spreadsheets by using filter, sort, look-up functions, as well as pivot tables.,"
Mathematics for Machine Learning,https://www.coursera.org/specializations/mathematics-machine-learning,Imperial College London,David Dye," Algebra, Linear Algebra, Mathematics, Machine Learning, Mathematical Theory & Analysis, Computer Programming, Python Programming, Machine Learning Algorithms, Calculus, Computational Logic, Algorithms, Differential Equations, Applied Mathematics, Problem Solving, Statistical Analysis, Dimensionality Reduction, Computer Programming Tools, Regression",4.6,12641,Free,204975,Beginner,Specialization,3 - 6 Months,,"Eigenvalues And Eigenvectors,Principal Component Analysis (PCA),Multivariable Calculus,Linear Algebra,"
Tools for Data Science,https://www.coursera.org/learn/open-source-tools-for-data-science,IBM,Aije Egwaikhide," Data Science, R Programming, Cloud Computing, Computer Programming, IBM Cloud, Python Programming",4.5,28231,Free,449311,Beginner,Course,3 - 6 Months,,"Describe the Data Scientist’s tool kit which includes: Libraries & Packages, Data sets, Machine learning models, and Big Data tools   ,Describe the Data Scientist’s tool kit which includes: Libraries & Packages, Data sets, Machine learning models, and Big Data tools   ,Utilize languages commonly used by data scientists like Python, R, and SQL   ,Utilize languages commonly used by data scientists like Python, R, and SQL   ,Demonstrate working knowledge of tools such as Jupyter notebooks and RStudio and utilize their various features    ,Demonstrate working knowledge of tools such as Jupyter notebooks and RStudio and utilize their various features    ,Create and manage source code for data science using Git repositories and GitHub.   ,Create and manage source code for data science using Git repositories and GitHub.   ,"
Achieving Personal and Professional Success,https://www.coursera.org/specializations/wharton-success,University of Pennsylvania,Richard Shell," Communication, Critical Thinking, Human Learning, People Analysis, Professional Development, Leadership Development, Leadership and Management, Decision Making, Emotional Intelligence, People Development, Adaptability, Negotiation, Influencing, Innovation",4.7,2446,Free,0,Beginner,Specialization,3 - 6 Months,,"goal setting,Communication,Negotiation,Deception,Happiness,Personality Development,Personal Development,"
Data Analysis with R Programming,https://www.coursera.org/learn/data-analysis-r,Google,Google Career Certificates," R Programming, Data Analysis, Computer Programming, Data Visualization, SQL",4.8,9546,Free,524430,Beginner,Course,3 - 6 Months,,"Describe the R programming language and its programming environment.,Describe the R programming language and its programming environment.,Explain the fundamental concepts associated with programming in R including functions, variables, data types, pipes, and vectors.,Explain the fundamental concepts associated with programming in R including functions, variables, data types, pipes, and vectors.,Describe the options for generating visualizations in R.,Describe the options for generating visualizations in R.,Demonstrate an understanding of the basic formatting in R Markdown to create structure and emphasize content.,Demonstrate an understanding of the basic formatting in R Markdown to create structure and emphasize content.,"
Foundations of Management,https://www.coursera.org/specializations/foundations-management,IESE Business School,Marc Badia," Leadership and Management, Accounting, Financial Accounting, Communication, Customer Analysis, Design and Product, Human Resources, Market Analysis, Marketing, Strategy and Operations, Finance, Financial Management, Leadership Development, Marketing Design, Product Marketing, Strategy, Employee Relations, Management Accounting, People Development, People Management, Business Psychology, Collaboration, Culture, Financial Analysis",4.8,1895,Free,34272,Beginner,Specialization,3 - 6 Months,,"Accounting,Leadership,Finance,Marketing,"
Cybersécurité Google,https://www.coursera.org/professional-certificates/cybersecurite-google,Google,Google Career Certificates," Cloud Computing, Linux, Python Programming, SQL",4.8,192,Free,4429,Beginner,Professional Certificate,3 - 6 Months,,"Systèmes de détection d'intrusion (IDS),SQL,Linux,Programmation Python,Outils de gestion des informations et des événements de sécurité (SIEM),"
Strategic Leadership and Management,https://www.coursera.org/specializations/strategic-leadership,University of Illinois at Urbana-Champaign,Jeff Flesher," Leadership and Management, Strategy and Operations, Strategy, Leadership Development, Decision Making, Entrepreneurship, Organizational Development, Business Analysis, Business Process Management, Change Management, Business Design, Business Development, Business Transformation, Communication, Culture, Performance Management, Problem Solving, Operations Management, People Management, Human Resources, Marketing, Operational Analysis, Sales, Conflict Management, Influencing, Negotiation, Business Intelligence, Business Psychology, Planning, Systems Design, Research and Design",4.8,6310,Free,118262,Beginner,Specialization,3 - 6 Months,,"Strategic Management,Negotiation,Leadership,Business Strategy,"
"TESOL Certificate, Part 2: Teach English Now!",https://www.coursera.org/specializations/tesol-certificate-2,Arizona State University,Dr. Shane Dixon," Writing, Human Learning, Planning",4.9,2377,Free,29587,Beginner,Specialization,3 - 6 Months,,"Teaching,English Language,Lesson Plan,Speech,"
Entrepreneurship: Growing Your Business,https://www.coursera.org/specializations/entrepreneurship-growing-your-business,University of Virginia,Alex Cowan," Leadership and Management, Strategy and Operations, Strategy, Critical Thinking, Leadership Development, Decision Making, Business Development, Entrepreneurship, Human Learning, Business Analysis, Communication, Finance, Account Management, Accounting, Accounts Payable and Receivable, Financial Accounting, Financial Analysis, General Accounting, Generally Accepted Accounting Principles (GAAP), Organizational Development, Planning, Problem Solving, Business Transformation, Marketing, Sales, Business Design, Cost Accounting, Payments, Customer Success, Innovation",4.8,1082,Free,26575,Beginner,Specialization,3 - 6 Months,,"Four ways to grow your business: scale and CVP, innovating, outsourcing and strategic acquisitions,Four ways to grow your business: scale and CVP, innovating, outsourcing and strategic acquisitions,,,How to use journal entries to record transactions and prepare and use t-accounts to summarize transactions recorded during an accounting period,How to use journal entries to record transactions and prepare and use t-accounts to summarize transactions recorded during an accounting period,,,A toolkit for voicing and enacting your values and principles,A toolkit for voicing and enacting your values and principles,,,How to apply innovation tools from the worlds of design thinking and Lean Startup to your business model design,How to apply innovation tools from the worlds of design thinking and Lean Startup to your business model design,,,"
Machine Learning with Python,https://www.coursera.org/learn/machine-learning-with-python,IBM,SAEED AGHABOZORGI," Machine Learning, Algorithms, Data Analysis, Human Learning, Python Programming, Regression",4.7,15345,Free,420414,Intermediate,Course,3 - 6 Months,,"Describe the various types of Machine Learning algorithms and when to use them  ,Describe the various types of Machine Learning algorithms and when to use them  ,Compare and contrast linear classification methods including multiclass prediction, support vector machines, and logistic regression  ,Compare and contrast linear classification methods including multiclass prediction, support vector machines, and logistic regression  ,Write Python code that implements various classification techniques including K-Nearest neighbors (KNN), decision trees, and regression trees ,Write Python code that implements various classification techniques including K-Nearest neighbors (KNN), decision trees, and regression trees ,Evaluate the results from simple linear, non-linear, and multiple regression on a data set using evaluation metrics   ,Evaluate the results from simple linear, non-linear, and multiple regression on a data set using evaluation metrics   ,"
Capstone: Applying Project Management in the Real World,https://www.coursera.org/learn/applying-project-management,Google,Google Career Certificates," Communication, Leadership and Management, Planning, Problem Solving, Project Management",4.8,7848,Free,275790,Beginner,Course,3 - 6 Months,,"Complete a project charter, filling out key information including a project summary, SMART goals, scope, benefits, and costs.,Complete a project charter, filling out key information including a project summary, SMART goals, scope, benefits, and costs.,Examine project documentation and conduct research to identify tasks for a project and organize those project tasks and milestones in a project plan.,Examine project documentation and conduct research to identify tasks for a project and organize those project tasks and milestones in a project plan.,Determine quality standards and evaluate against those standards to ensure that the project is achieving the required level of quality.,Determine quality standards and evaluate against those standards to ensure that the project is achieving the required level of quality.,Develop effective stakeholder reports by applying storytelling strategies to describe data.,Develop effective stakeholder reports by applying storytelling strategies to describe data.,"
Leading People and Teams,https://www.coursera.org/specializations/leading-teams,University of Michigan,"Scott DeRue, Ph.D."," Human Resources, Leadership and Management, People Development, Strategy and Operations, Leadership Development, Talent Management, Business Psychology, People Analysis, Communication, People Management, Strategy, Human Learning, Human Resources Operations, Business Communication, Collaboration, Influencing, Performance Management, Problem Solving, Conflict Management, Business Analysis, Marketing, Recruitment",4.7,6258,Free,140864,Beginner,Specialization,3 - 6 Months,,"Create and communicate your vision as a leader,Create and communicate your vision as a leader,Manage talent to improve employee performance, development and retention,Manage talent to improve employee performance, development and retention,Use the Michigan Model of Leadership to define organizational goals,Use the Michigan Model of Leadership to define organizational goals,Create a high-quality team charter that enhances team performance,Create a high-quality team charter that enhances team performance,"
Generative AI: Introduction and Applications,https://www.coursera.org/learn/generative-ai-introduction-and-applications,IBM,Rav Ahuja, Natural Language Processing,4.6,355,Free,31699,Beginner,Course,3 - 6 Months,,"Describe generative AI and distinguish it from discriminative AI.,Describe generative AI and distinguish it from discriminative AI.,Describe the capabilities of generative AI and its use cases in the real world.,Describe the capabilities of generative AI and its use cases in the real world.,Identify the applications of generative AI in different sectors and industries.,Identify the applications of generative AI in different sectors and industries.,Explore common generative AI models and tools for text, code, image, audio, and video generation.,Explore common generative AI models and tools for text, code, image, audio, and video generation.,"
UCI Project Management,https://www.coursera.org/professional-certificate/applied-project-management,"University of California, Irvine","Peter Kim, PMP, MBA"," Leadership and Management, Strategy and Operations, Communication, Project Management, Planning",4.7,277,Free,1663,Beginner,Professional Certificate,3 - 6 Months,,"Schedule,Project,Program Management,Project Planning,"
Project Launch,https://www.coursera.org/learn/project-management,"University of California, Irvine",Hassan Kafshi," Leadership and Management, Project Management, Communication",4.7,239,Free,1571,Beginner,Course,3 - 6 Months,,"Project Management,Scope (Project Management),Communication,Work Breakdown Structure,"
"Assets, Threats, and Vulnerabilities",https://www.coursera.org/learn/assets-threats-and-vulnerabilities,Google,Google Career Certificates," Cryptography, Linux",4.8,1866,Free,128245,Beginner,Course,3 - 6 Months,,"Classify assets,Classify assets,Analyze an attack surface to find risks and vulnerabilities,Analyze an attack surface to find risks and vulnerabilities,Identify threats, such as social engineering, malware and web-based exploits,Identify threats, such as social engineering, malware and web-based exploits,Summarize the threat modeling process,Summarize the threat modeling process,"
Introduction to Healthcare,https://www.coursera.org/learn/intro-to-healthcare,Stanford University,Nigam Shah,,4.8,857,Free,44465,Beginner,Course,3 - 6 Months,,"The major challenges of the U.S.healthcare system,The major challenges of the U.S.healthcare system,Issues you may encounter in efforts to improve healthcare delivery and the healthcare system,Issues you may encounter in efforts to improve healthcare delivery and the healthcare system,Who the key stakeholders are in the U.S. healthcare system,Who the key stakeholders are in the U.S. healthcare system,"
Databases and SQL for Data Science with Python,https://www.coursera.org/learn/sql-data-science,IBM,Rav Ahuja," Python Programming, Computer Programming, Data Analysis, Data Management, Database Application, Database Design, Databases, Professional Development, SQL, Cloud Computing, IBM Cloud",4.6,19309,Free,433161,Beginner,Course,3 - 6 Months,,"Analyze data within a database using SQL and Python.,Analyze data within a database using SQL and Python.,Create a relational database and work with multiple tables using DDL commands. ,Create a relational database and work with multiple tables using DDL commands. ,Construct basic to intermediate level SQL queries using DML commands. ,Construct basic to intermediate level SQL queries using DML commands. ,Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins. ,Compose more powerful queries with advanced SQL techniques like views, transactions, stored procedures, and joins. ,"
Python 3 Programming,https://www.coursera.org/specializations/python-3-programming,University of Michigan,Steve Oney," Python Programming, Computer Programming, Problem Solving",4.7,16877,Free,228198,Beginner,Specialization,3 - 6 Months,,"Learn Python 3 basics, from the basics to more advanced concepts like lists and functions.,Learn Python 3 basics, from the basics to more advanced concepts like lists and functions.,Practice and become skilled at solving problems and fixing errors in your code.,Practice and become skilled at solving problems and fixing errors in your code.,Gain the ability to write programs that fetch data from internet APIs and extract useful information.,Gain the ability to write programs that fetch data from internet APIs and extract useful information.,"
TensorFlow: Advanced Techniques,https://www.coursera.org/specializations/tensorflow-advanced-techniques,DeepLearning.AI,Laurence Moroney," Deep Learning, Machine Learning, Tensorflow, Artificial Neural Networks, Applied Machine Learning, Python Programming, Machine Learning Algorithms, Human Learning, Computer Vision, Computer Programming, Network Model, Machine Learning Software, Network Architecture, Training, Computer Graphic Techniques, Strategy",4.8,1334,Free,29268,Intermediate,Specialization,3 - 6 Months,,"Understand the underlying basis of the Functional API and build exotic non-sequential model types, custom loss functions, and layers.,Understand the underlying basis of the Functional API and build exotic non-sequential model types, custom loss functions, and layers.,,,Learn optimization and how to use GradientTape & Autograph, optimize training in different environments with multiple processors and chip types.,Learn optimization and how to use GradientTape & Autograph, optimize training in different environments with multiple processors and chip types.,,,Practice object detection, image segmentation, and visual interpretation of convolutions.,Practice object detection, image segmentation, and visual interpretation of convolutions.,,,Explore generative deep learning, and how AIs can create new content, from Style Transfer through Auto Encoding and VAEs to GANs.,Explore generative deep learning, and how AIs can create new content, from Style Transfer through Auto Encoding and VAEs to GANs.,,,"
Financial Engineering and Risk Management,https://www.coursera.org/specializations/financialengineering,Columbia University,Martin Haugh," Finance, Risk Management, Probability & Statistics, Leadership and Management, Mathematics, Investment Management, Securities Sales, Securities Trading, Computer Programming",4.5,237,Free,21421,Intermediate,Specialization,3 - 6 Months,,"1. Valuing options, swaps, forwards, futures, and other complex financial derivatives using stochastic models,1. Valuing options, swaps, forwards, futures, and other complex financial derivatives using stochastic models,,,,,2. Develop a systematic, data-driven approach to formulating modeled returns and risks for significant asset classes and optimal portfolios,2. Develop a systematic, data-driven approach to formulating modeled returns and risks for significant asset classes and optimal portfolios,,,3. Back test and implement trading models and signals in an active, live trading environment ,3. Back test and implement trading models and signals in an active, live trading environment ,,,"
Think like a CFO,https://www.coursera.org/specializations/thinklikeacfo,IESE Business School,Marc Badia," Finance, Financial Accounting, Accounting, Investment Management, Financial Management, Financial Analysis, Leadership and Management, Risk Management, Business Analysis, Market Analysis, Management Accounting",4.8,625,Free,16148,Beginner,Specialization,3 - 6 Months,,"Bonds,Corporate Finance,Dividend Policy,Market Efficiency,Stocks,Dupont Analysis,Management Accounting,Business Analysis,Finance,Financial Accounting,Accounting,Financial Statement,Balance Sheet,Financial Risk,Evaluation,Investment,View all skills,"
Human Resource Management: HR for People Managers,https://www.coursera.org/specializations/human-resource-management,University of Minnesota,John W. Budd," Human Resources, Human Resources Operations, Employee Relations, Strategy and Operations, People Management, Leadership and Management, Communication, Strategy, Compensation, People Development, Performance Management, Organizational Development, Planning, Professional Development, Recruitment, Business Psychology, People Analysis, Training, Benefits, Business Analysis, Culture",4.8,11666,Free,185531,Beginner,Specialization,3 - 6 Months,,"Understanding alternative approaches to managing human resources and appreciating the diversity of factors that motivate workers,Understanding alternative approaches to managing human resources and appreciating the diversity of factors that motivate workers,Applying best practices for hiring and rewarding employees, and for managing employee performance,Applying best practices for hiring and rewarding employees, and for managing employee performance,Avoiding key mistakes in (mis)managing human resources,Avoiding key mistakes in (mis)managing human resources,"
Meta Marketing Analytics,https://www.coursera.org/professional-certificates/facebook-marketing-analytics,Meta,Brandon Larkin," Marketing, Digital Marketing, Advertising, Data Analysis, Marketing Management, Media Strategy & Planning, Business Analysis, Statistical Analysis, Probability & Statistics, Market Analysis, Communication, General Statistics, Experiment, Regression, Statistical Tests, Market Research, Basic Descriptive Statistics, Probability Distribution, Brand Management, Forecasting, Research and Design, Data Visualization, Computer Programming, Data Management, Databases, Python Programming, SQL, Statistical Programming, Storytelling, Tableau Software",4.8,1950,Free,12642,Beginner,Professional Certificate,3 - 6 Months,,"Collect, sort, evaluate, and visualize marketing data,Collect, sort, evaluate, and visualize marketing data,Summarize and analyze data using marketing analytics methods,Summarize and analyze data using marketing analytics methods,Design experiments and test hypotheses to evaluate advertising effectiveness,Design experiments and test hypotheses to evaluate advertising effectiveness,Use Meta Ads Manager to run tests, learn what works, and optimize ad performance ,Use Meta Ads Manager to run tests, learn what works, and optimize ad performance ,"
AI for Good,https://www.coursera.org/specializations/ai-for-good,DeepLearning.AI,Robert Monarch," Artificial Neural Networks, Computer Vision, Exploratory Data Analysis, Machine Learning, Natural Language Processing, Python Programming",4.8,202,Free,8756,Beginner,Specialization,3 - 6 Months,,"Master a step-by-step framework for the development of AI projects.,Master a step-by-step framework for the development of AI projects.,Explore real-world case studies related to public health, climate change, and disaster management.,Explore real-world case studies related to public health, climate change, and disaster management.,Analyze data and build AI models for projects focused on air quality, wind energy, biodiversity monitoring, and disaster management.,Analyze data and build AI models for projects focused on air quality, wind energy, biodiversity monitoring, and disaster management.,"
"HTML, CSS, and Javascript for Web Developers",https://www.coursera.org/learn/html-css-javascript-for-web-developers,Johns Hopkins University,," Front-End Web Development, HTML and CSS, Javascript, Web Development",4.7,,Free,0,Mixed,Course,3 - 6 Months,,"HTML,JavaScript,Css Frameworks,Cascading Style Sheets (CSS),"
Share Data Through the Art of Visualization,https://www.coursera.org/learn/visualize-data,Google,Google Career Certificates," Business Communication, Data Analysis, Data Visualization, Data Visualization Software, Tableau Software",4.6,8342,Free,496924,Beginner,Course,3 - 6 Months,,"Describe the use of data visualizations to talk about data and the results of data analysis.,Describe the use of data visualizations to talk about data and the results of data analysis.,Identify Tableau as a data visualization tool and understand its uses.,Identify Tableau as a data visualization tool and understand its uses.,Explain what data driven stories are including reference to their importance and their attributes.,Explain what data driven stories are including reference to their importance and their attributes.,Explain principles and practices associated with effective presentations.,Explain principles and practices associated with effective presentations.,"
Risk Management,https://www.coursera.org/specializations/risk-management,New York Institute of Finance,Jack Farmer," Leadership and Management, Risk Management, Finance, Probability & Statistics, Strategy, Financial Analysis, Strategy and Operations, Operations Management, Statistical Tests, Business Analysis, Business Process Management, Operational Analysis, Market Analysis, Financial Management, Statistical Analysis, Regulations and Compliance, Banking, General Statistics, Operating Systems, Operations Research, Critical Thinking, Probability Distribution, Market Research",4.6,584,Free,19605,Beginner,Specialization,3 - 6 Months,,"Understand the concepts and principles of credit risk management and the steps to manage portfolio credit risks. ,Understand the concepts and principles of credit risk management and the steps to manage portfolio credit risks. ,Use statistical models to measure risk associated with different types of investments. ,Use statistical models to measure risk associated with different types of investments. ,How to build an operational risk assessment program.,How to build an operational risk assessment program.,"
Google Project Management,https://www.coursera.org/professional-certificates/gestion-de-projet-google,Google,Google Career Certificates," Leadership and Management, Planning, Communication, Strategy, Strategy and Operations, Business Analysis, Business Development, Business Psychology, Collaboration, Decision Making, Design and Product, Data Analysis, Entrepreneurship, Business Communication, Conflict Management, Emotional Intelligence, People Management, Compensation, Critical Thinking, Network Security, Adaptability, Organizational Development, Project Management",4.6,183,Free,9870,Beginner,Professional Certificate,3 - 6 Months,,"Une compréhension des pratiques et des compétences nécessaires pour réussir dans un poste de gestionnaire de projet junior.,Une compréhension des pratiques et des compétences nécessaires pour réussir dans un poste de gestionnaire de projet junior.,Vous apprendrez à créer une documentation de projet et des procédés efficaces tout au long des différentes phases d’un projet.,Vous apprendrez à créer une documentation de projet et des procédés efficaces tout au long des différentes phases d’un projet.,Vous apprendrez les bases de la gestion de projet Agile y compris Scrum.,Vous apprendrez les bases de la gestion de projet Agile y compris Scrum.,Vous pratiquerez la communication stratégique, la résolution de problèmes et la gestion des partenaires dans le cadre de scénarios concrets.,Vous pratiquerez la communication stratégique, la résolution de problèmes et la gestion des partenaires dans le cadre de scénarios concrets.,"
From Likes to Leads: Interact with Customers Online,https://www.coursera.org/learn/from-likes-to-leads,Google,Google Career Certificates," Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Social Media, Advertising, Data Analysis, Strategy",4.8,2572,Free,150646,Beginner,Course,3 - 6 Months,,"Define social media marketing and describe its purpose,Define social media marketing and describe its purpose,Identify core pillars of social media marketing: strategy, planning and publishing, listening and engagement, analytics and reporting, advertising,Identify core pillars of social media marketing: strategy, planning and publishing, listening and engagement, analytics and reporting, advertising,Define the goals of a social media campaign,Define the goals of a social media campaign,Write, design, and repurpose engaging content for social media,Write, design, and repurpose engaging content for social media,"
Accelerated Computer Science Fundamentals,https://www.coursera.org/specializations/cs-fundamentals,University of Illinois at Urbana-Champaign,Wade Fagen-Ulmschneider," Computer Programming, C Programming Language Family, Data Structures, Algorithms, C++ Programming, Theoretical Computer Science, Programming Principles, Computational Thinking, Problem Solving, Computer Programming Tools, Critical Thinking, Computational Logic, Graph Theory",4.7,2457,Free,44469,Intermediate,Specialization,3 - 6 Months,,"Design and implement an object-oriented program in the C++ language, including defining classes that encapsulate data structures and algorithms.,Design and implement an object-oriented program in the C++ language, including defining classes that encapsulate data structures and algorithms.,Select and implement appropriate data structures that best utilize resources to solve a computational problem.,Select and implement appropriate data structures that best utilize resources to solve a computational problem.,Analyze the running time and space needs of an algorithm, asymptotically to ensure it is appropriate at scale, including for big data.,Analyze the running time and space needs of an algorithm, asymptotically to ensure it is appropriate at scale, including for big data.,Prepare for advanced courses in CS with the foundational knowledge of object data structures needed to implement and call advanced library functions.,Prepare for advanced courses in CS with the foundational knowledge of object data structures needed to implement and call advanced library functions.,"
